english	hindi
Avishi	अविशी
Avni	अवनि
Avnita	अवनिता
Ayanna	अयान्ना
Ayati	अयती
Ayeh	एह
Ayesha	आयेशा
Ayurda	अयुर्दा
Ayushi	अयुशी
Ayushmati	आयुश्मति
Azeeza	अजीज़ा
Azhaar	अज्हार
Azmina	अज्मिना
Azza	अज्ज़ा
Baahir	बाहिर
Baasim	बासिम
Babala	बबला
Babul	बाबुल
Badal	बादल
Badr Udeen	बद्र उदीन
Badri	बद्री
Badrinath	बद्रीनाथ
Badriprasad	बद्रीप्रसाद
Baha	बहा
Baha Udeen	बहा उदीन
Bahiy Udeen	बहीय उदीन
Bahubali	बाहुबली
Bahula	बहुला
Bahuleya	बाहुलेया
Bahumanya	बाहूमान्य
Bahurai	बहुराई
Bajrang	बजरंग
Bakhtawar	बख्तावर
Bakool	बकूल
Bakul	बकुल
Balaark	बालार्क
Balachandra	बालचंद्रा
Balachandrav	बालचंद्रव
Baladhi	बालधि
Baladhitya	बालाधित्य
Baladitya	बालादित्य
Balagopal	बालगोपाल
Balagovind	बालागोविंद
Balaji	बालाजी
Balakrishna	बालाकृष्णा
Balakumar	बालकुमार
Balamani	बालामानी
Balamohan	बालामोहन
Balamurugan	बालामुरुगन
Balan	बालन
Balanath	बालनाथ
Balaraj	बालाराज
Balaram	बालाराम
Balaravi	बालारवी
Balashankar	बालाशंकर
Balavan	बलवान
Balavant	बलवंत
Balbhadra	बलभद्र
Balbir	बलबीर
Balbir	बलबीर
Baldev	बलदेव
Balendra	बालेन्द्र
Balendu	बालेन्दु
Balgopal	बालगोपाल
Bali	बाली
Balkrishan	बालक्रिशन
Balraj	बलराज
Balram	बलराम
Balvant	बलवंत
Balveer	बलवीर
Balvinder	बलविंदर
Balvinder	बलविंद्रा
Balvindra	बल्विन्द्र
Balwant	बलवंत
Balwant	बलवंत
Banaj	बनज
Banbhatt	बानभात्त
Banbihari	बनबिहारी
Bandhu	बंधु
Bandhul	बंधूल
Bandhula	बंधुला
Baneet	बनीत
Banke	बांके
Banke Bihari	बांके बिहारी
Bankebihari	बांकेबिहारी
Bankim	बनकीम
Bankimchandra	बंकिमचंद्र
Banshi	बंशी
Banshidhar	बंशीधर
Bansi	बंसी
Bansilal	बंसीलाल
Banwari	बनवारी
Barid	बरिद
Baridbaran	बरिदबरण
Barindra	बरिंद्रा
Barindra	बरिन्द्र
Barsat	बरसात
Barun	बरुन
Basaam	बसाम
Basant	बसंत
Basanta	बसंता
Basavaraj	बसवराज
Basel	बसेल
Bashaar	बशार
Bashir	बशीर
Basistha	बसिस्ता
Basudev	बासुदेव
Basudha	बसूधा
Batuk	बटुक
Bhadra	भद्र
Bhadrak	भद्रक
Bhadrakapil	भद्रकपिल
Bhadraksh	भद्रक्ष
Bhadrang	भद्रंग
Bhadranidhi	भद्रनिधि
Bhadrashree	भद्रश्री
Bhadresh	भद्रेश
Bhagaditya	भगदित्य
Bhagat	भगत
Bhagavan	भगवान
Bhagesh	भागेश
Bhagirat	भागिरत
Bhagirath	भागीरथ
Bhagwant	भगवंत
Bhagyanandana	भाग्यनंदाना
Bhagyaraj	भाग्याराज
Bhairav	भैरव
Bhajan	भजन
Bhakti	भक्ति
Bhalendra	भालेंद्र
Bhanu	भानु
Bhanudas	भानुदास
Bhanumitra	भानुमित्र
Bhanuprakash	भानुप्रकाश
Bhanuprasad	भानुप्रसाद
Bharadwaj	भारद्वाज
Bharat	भारत
Bhargav	भार्गव
Bhargava	भार्गवा
Bhargyaraj	भार्ग्यराज
Bhartesh	भर्तेश
Bhartihari	भार्तिहारी
Bhaskar	भास्कर
Bhasvan	भास्वन
Bhaswar	भास्वर
Bhaumik	भौमिक
Bhavamanyu	भावामन्यु
Bhavan	भवन
